MM:DD:YYYY hh:mm:ss, Elapsed Time, Device, LeftCount, LeftDuration, RightCount, RightDuration, BatteryVoltage
11/6/2019 11:16:37,0:0:10,4,0,0.00,0,0.00,3.53
11/6/2019 11:16:47,0:0:20,4,0,0.00,0,0.00,3.06
11/6/2019 11:16:57,0:0:30,4,0,0.00,0,0.00,3.07
11/6/2019 11:17:07,0:0:40,4,0,0.00,0,0.00,3.07
11/6/2019 11:17:17,0:0:50,4,0,0.00,0,0.00,3.08
11/6/2019 11:17:27,0:1:0,4,0,0.00,0,0.00,3.09
11/6/2019 11:17:37,0:1:10,4,0,0.00,0,0.00,3.07
11/6/2019 11:17:47,0:1:20,4,0,0.00,0,0.00,3.07
11/6/2019 11:17:57,0:1:30,4,0,0.00,0,0.00,3.09
11/6/2019 11:18:07,0:1:40,4,0,0.00,0,0.00,3.08
11/6/2019 11:18:17,0:1:50,4,0,0.00,0,0.00,3.08
11/6/2019 11:18:27,0:2:0,4,0,0.00,0,0.00,3.08
11/6/2019 11:18:37,0:2:10,4,0,0.00,0,0.00,3.09
11/6/2019 11:18:47,0:2:20,4,0,0.00,0,0.00,3.08
11/6/2019 11:18:57,0:2:30,4,0,0.00,0,0.00,3.09
11/6/2019 11:19:07,0:2:40,4,0,0.00,0,0.00,3.08
11/6/2019 11:19:17,0:2:50,4,0,0.00,0,0.00,3.09
11/6/2019 11:19:27,0:3:0,4,0,0.00,0,0.00,3.09
11/6/2019 11:19:37,0:3:10,4,0,0.00,0,0.00,3.09
11/6/2019 11:19:47,0:3:20,4,0,0.00,0,0.00,3.09
11/6/2019 11:19:57,0:3:30,4,0,0.00,0,0.00,3.09
11/6/2019 11:20:07,0:3:40,4,0,0.00,0,0.00,3.09
11/6/2019 11:20:17,0:3:50,4,0,0.00,0,0.00,3.09
11/6/2019 11:20:27,0:4:0,4,0,0.00,0,0.00,3.09
11/6/2019 11:20:37,0:4:10,4,0,0.00,0,0.00,3.10
11/6/2019 11:20:47,0:4:20,4,0,0.00,0,0.00,3.10
11/6/2019 11:20:57,0:4:30,4,0,0.00,0,0.00,3.10
11/6/2019 11:21:07,0:4:40,4,0,0.00,0,0.00,3.10
11/6/2019 11:21:17,0:4:50,4,0,0.00,0,0.00,3.10
11/6/2019 11:21:27,0:5:0,4,0,0.00,0,0.00,3.09
11/6/2019 11:21:37,0:5:10,4,0,0.00,0,0.00,3.10
11/6/2019 11:21:47,0:5:20,4,0,0.00,0,0.00,3.11
11/6/2019 11:21:57,0:5:30,4,0,0.00,0,0.00,3.11
11/6/2019 11:22:07,0:5:40,4,6,0.34,0,0.00,3.09
11/6/2019 11:22:17,0:5:50,4,6,0.34,0,0.00,3.10
11/6/2019 11:22:27,0:6:0,4,6,0.34,0,0.00,3.09
11/6/2019 11:22:37,0:6:10,4,6,0.34,0,0.00,3.11
11/6/2019 11:22:47,0:6:20,4,6,0.34,0,0.00,3.11
11/6/2019 11:22:57,0:6:30,4,6,0.34,0,0.00,3.10
11/6/2019 11:23:07,0:6:40,4,6,0.34,0,0.00,3.10
11/6/2019 11:23:17,0:6:50,4,6,0.34,0,0.00,3.11
11/6/2019 11:23:27,0:7:0,4,6,0.34,0,0.00,3.11
11/6/2019 11:23:37,0:7:10,4,6,0.34,0,0.00,3.11
11/6/2019 11:23:47,0:7:20,4,6,0.34,0,0.00,3.11
11/6/2019 11:23:57,0:7:30,4,6,0.34,0,0.00,3.12
11/6/2019 11:24:07,0:7:40,4,6,0.34,0,0.00,3.11
11/6/2019 11:24:17,0:7:50,4,6,0.34,0,0.00,3.11
11/6/2019 11:24:27,0:8:0,4,6,0.34,0,0.00,3.11
11/6/2019 11:24:37,0:8:10,4,6,0.34,0,0.00,3.12
11/6/2019 11:24:47,0:8:20,4,6,0.34,0,0.00,3.11
11/6/2019 11:24:57,0:8:30,4,6,0.34,0,0.00,3.12
11/6/2019 11:25:07,0:8:40,4,6,0.34,0,0.00,3.12
11/6/2019 11:25:17,0:8:50,4,6,0.34,0,0.00,3.11
11/6/2019 11:25:27,0:9:0,4,6,0.34,0,0.00,3.12
11/6/2019 11:25:37,0:9:10,4,6,0.34,0,0.00,3.12
11/6/2019 11:25:47,0:9:20,4,6,0.34,0,0.00,3.13
11/6/2019 11:25:57,0:9:30,4,6,0.34,0,0.00,3.13
11/6/2019 11:26:07,0:9:40,4,6,0.34,0,0.00,3.12
11/6/2019 11:26:17,0:9:50,4,6,0.34,0,0.00,3.12
11/6/2019 11:26:27,0:10:0,4,6,0.34,0,0.00,3.13
11/6/2019 11:26:37,0:10:10,4,6,0.34,0,0.00,3.12
11/6/2019 11:26:47,0:10:20,4,6,0.34,0,0.00,3.13
11/6/2019 11:26:57,0:10:30,4,6,0.34,0,0.00,3.13
11/6/2019 11:27:07,0:10:40,4,6,0.34,0,0.00,3.13
11/6/2019 11:27:17,0:10:50,4,6,0.34,0,0.00,3.13
11/6/2019 11:27:27,0:11:0,4,6,0.34,0,0.00,3.13
11/6/2019 11:27:37,0:11:10,4,6,0.34,0,0.00,3.13
11/6/2019 11:27:47,0:11:20,4,6,0.34,0,0.00,3.12
11/6/2019 11:27:57,0:11:30,4,6,0.34,0,0.00,3.13
11/6/2019 11:28:07,0:11:40,4,6,0.34,0,0.00,3.13
11/6/2019 11:28:17,0:11:50,4,7,0.37,0,0.00,3.14
11/6/2019 11:28:27,0:12:0,4,7,0.37,16,4.52,3.13
11/6/2019 11:28:37,0:12:10,4,7,0.37,18,5.03,3.14
11/6/2019 11:28:47,0:12:20,4,7,0.37,18,5.03,3.14
11/6/2019 11:28:57,0:12:30,4,7,0.37,18,5.03,3.15
11/6/2019 11:29:07,0:12:40,4,7,0.37,18,5.03,3.13
11/6/2019 11:29:17,0:12:50,4,7,0.37,18,5.03,3.15
11/6/2019 11:29:27,0:13:0,4,7,0.37,18,5.03,3.14
11/6/2019 11:29:37,0:13:10,4,7,0.37,18,5.03,3.15
11/6/2019 11:29:47,0:13:20,4,7,0.37,18,5.03,3.14
11/6/2019 11:29:57,0:13:30,4,7,0.37,18,5.03,3.13
11/6/2019 11:30:07,0:13:40,4,7,0.37,18,5.03,3.14
11/6/2019 11:30:17,0:13:50,4,7,0.37,18,5.03,3.14
11/6/2019 11:30:27,0:14:0,4,7,0.37,18,5.03,3.15
11/6/2019 11:30:37,0:14:10,4,7,0.37,18,5.03,3.15
11/6/2019 11:30:47,0:14:20,4,7,0.37,18,5.03,3.14
11/6/2019 11:30:57,0:14:30,4,7,0.37,18,5.03,3.15
11/6/2019 11:31:07,0:14:40,4,7,0.37,18,5.03,3.15
11/6/2019 11:31:17,0:14:50,4,7,0.37,18,5.03,3.15
11/6/2019 11:31:27,0:15:0,4,7,0.37,18,5.03,3.15
11/6/2019 11:31:37,0:15:10,4,7,0.37,18,5.03,3.14
11/6/2019 11:31:47,0:15:20,4,7,0.37,18,5.03,3.15
11/6/2019 11:31:57,0:15:30,4,7,0.37,18,5.03,3.15
11/6/2019 11:32:07,0:15:40,4,7,0.37,18,5.03,3.15
11/6/2019 11:32:17,0:15:50,4,7,0.37,18,5.03,3.15
11/6/2019 11:32:27,0:16:0,4,7,0.37,18,5.03,3.15
11/6/2019 11:32:37,0:16:10,4,7,0.37,18,5.03,3.15
11/6/2019 11:32:47,0:16:20,4,7,0.37,18,5.03,3.15
11/6/2019 11:32:57,0:16:30,4,7,0.37,18,5.03,3.16
11/6/2019 11:33:07,0:16:40,4,7,0.37,18,5.03,3.16
11/6/2019 11:33:17,0:16:50,4,7,0.37,18,5.03,3.15
11/6/2019 11:33:27,0:17:0,4,7,0.37,18,5.03,3.16
11/6/2019 11:33:37,0:17:10,4,7,0.37,18,5.03,3.16
11/6/2019 11:33:47,0:17:20,4,7,0.37,18,5.03,3.16
11/6/2019 11:33:57,0:17:30,4,7,0.37,18,5.03,3.16
11/6/2019 11:34:07,0:17:40,4,7,0.37,18,5.03,3.16
11/6/2019 11:34:17,0:17:50,4,7,0.37,18,5.03,3.16
11/6/2019 11:34:27,0:18:0,4,7,0.37,18,5.03,3.15
11/6/2019 11:34:37,0:18:10,4,7,0.37,18,5.03,3.16
11/6/2019 11:34:47,0:18:20,4,7,0.37,18,5.03,3.16
11/6/2019 11:34:57,0:18:30,4,7,0.37,18,5.03,3.16
11/6/2019 11:35:07,0:18:40,4,7,0.37,18,5.03,3.16
11/6/2019 11:35:17,0:18:50,4,7,0.37,18,5.03,3.15
11/6/2019 11:35:27,0:19:0,4,7,0.37,18,5.03,3.16
11/6/2019 11:35:37,0:19:10,4,7,0.37,18,5.03,3.16
11/6/2019 11:35:46,0:19:20,4,7,0.37,18,5.03,3.16
11/6/2019 11:35:57,0:19:30,4,7,0.37,18,5.03,3.16
11/6/2019 11:36:07,0:19:40,4,7,0.37,18,5.03,3.16
11/6/2019 11:36:17,0:19:50,4,7,0.37,18,5.03,3.16
11/6/2019 11:36:27,0:20:0,4,7,0.37,18,5.03,3.17
11/6/2019 11:36:37,0:20:10,4,7,0.37,18,5.03,3.16
11/6/2019 11:36:47,0:20:20,4,7,0.37,18,5.03,3.17
11/6/2019 11:36:57,0:20:30,4,7,0.37,18,5.03,3.16
11/6/2019 11:37:07,0:20:40,4,7,0.37,18,5.03,3.16
11/6/2019 11:37:17,0:20:50,4,7,0.37,18,5.03,3.16
11/6/2019 11:37:26,0:21:0,4,7,0.37,18,5.03,3.16
11/6/2019 11:37:37,0:21:10,4,7,0.37,18,5.03,3.18
11/6/2019 11:37:47,0:21:20,4,7,0.37,18,5.03,3.16
11/6/2019 11:37:56,0:21:30,4,7,0.37,18,5.03,3.16
11/6/2019 11:38:07,0:21:40,4,7,0.37,18,5.03,3.17
11/6/2019 11:38:16,0:21:50,4,7,0.37,18,5.03,3.18
11/6/2019 11:38:27,0:22:0,4,7,0.37,18,5.03,3.18
11/6/2019 11:38:37,0:22:10,4,7,0.37,18,5.03,3.18
11/6/2019 11:38:46,0:22:20,4,7,0.37,18,5.03,3.16
11/6/2019 11:38:57,0:22:30,4,7,0.37,18,5.03,3.17
11/6/2019 11:39:06,0:22:40,4,7,0.37,18,5.03,3.16
11/6/2019 11:39:17,0:22:50,4,7,0.37,18,5.03,3.17
11/6/2019 11:39:27,0:23:0,4,7,0.37,18,5.03,3.18
11/6/2019 11:39:36,0:23:10,4,7,0.37,18,5.03,3.18
11/6/2019 11:39:47,0:23:20,4,7,0.37,18,5.03,3.18
11/6/2019 11:39:56,0:23:30,4,7,0.37,18,5.03,3.18
11/6/2019 11:40:06,0:23:40,4,7,0.37,18,5.03,3.18
11/6/2019 11:40:17,0:23:50,4,7,0.37,18,5.03,3.18
11/6/2019 11:40:26,0:24:0,4,7,0.37,18,5.03,3.18
11/6/2019 11:40:37,0:24:10,4,7,0.37,18,5.03,3.19
11/6/2019 11:40:46,0:24:20,4,7,0.37,19,5.08,3.17
11/6/2019 11:40:56,0:24:30,4,7,0.37,19,5.08,3.18
11/6/2019 11:41:07,0:24:40,4,7,0.37,19,5.08,3.19
11/6/2019 11:41:16,0:24:50,4,7,0.37,19,5.08,3.18
11/6/2019 11:41:26,0:25:0,4,7,0.37,19,5.08,3.18
11/6/2019 11:41:36,0:25:10,4,7,0.37,19,5.08,3.18
11/6/2019 11:41:46,0:25:20,4,7,0.37,19,5.08,3.18
11/6/2019 11:41:56,0:25:30,4,7,0.37,19,5.08,3.18
11/6/2019 11:42:06,0:25:40,4,7,0.37,19,5.08,3.18
11/6/2019 11:42:17,0:25:50,4,7,0.37,19,5.08,3.18
11/6/2019 11:42:26,0:26:0,4,7,0.37,19,5.08,3.18
11/6/2019 11:42:36,0:26:10,4,7,0.37,19,5.08,3.18
11/6/2019 11:42:47,0:26:20,4,7,0.37,19,5.08,3.18
11/6/2019 11:42:56,0:26:30,4,7,0.37,19,5.08,3.18
11/6/2019 11:43:06,0:26:40,4,7,0.37,19,5.08,3.17
