MM:DD:YYYY hh:mm:ss, Elapsed Time, Device, LeftCount, LeftDuration, RightCount, RightDuration, BatteryVoltage
3/4/2020 9:36:38,0:0:10,5,0,0.00,0,0.00,4.24
3/4/2020 9:36:49,0:0:21,5,0,0.00,3,1.35,4.24
3/4/2020 9:36:59,0:0:31,5,0,0.00,3,1.59,4.24
3/4/2020 9:37:09,0:0:41,5,0,0.00,3,1.59,4.25
3/4/2020 9:37:19,0:0:51,5,0,0.00,3,1.59,4.25
3/4/2020 9:37:29,0:1:1,5,0,0.00,3,1.59,4.24
3/4/2020 9:37:39,0:1:11,5,0,0.00,3,1.59,4.25
3/4/2020 9:37:49,0:1:21,5,0,0.00,3,1.59,4.24
3/4/2020 9:37:59,0:1:31,5,0,0.00,3,1.59,4.25
3/4/2020 9:38:09,0:1:41,5,2,3.28,3,1.59,4.27
3/4/2020 9:38:19,0:1:51,5,2,3.28,3,1.59,4.24
3/4/2020 9:38:29,0:2:1,5,2,3.28,3,1.59,4.25
3/4/2020 9:38:39,0:2:11,5,2,3.28,3,1.59,4.23
3/4/2020 9:38:49,0:2:21,5,2,3.28,3,1.59,4.25
3/4/2020 9:38:59,0:2:31,5,2,3.28,3,1.59,4.25
3/4/2020 9:39:09,0:2:41,5,2,3.28,3,1.59,4.25
3/4/2020 9:39:19,0:2:51,5,2,3.28,3,1.59,4.24
3/4/2020 9:39:29,0:3:1,5,2,3.28,4,1.73,4.25
3/4/2020 9:39:39,0:3:11,5,2,3.28,4,1.73,4.24
3/4/2020 9:39:49,0:3:21,5,2,3.28,4,1.73,4.25
3/4/2020 9:39:59,0:3:31,5,2,3.28,4,1.73,4.24
3/4/2020 9:40:09,0:3:41,5,2,3.28,4,1.73,4.25
3/4/2020 9:40:19,0:3:51,5,2,3.28,4,1.73,4.24
3/4/2020 9:40:29,0:4:1,5,2,3.28,4,1.73,4.24
3/4/2020 9:40:39,0:4:11,5,2,3.28,4,1.73,4.23
3/4/2020 9:40:49,0:4:21,5,2,3.28,4,1.73,4.25
3/4/2020 9:40:59,0:4:31,5,2,3.28,4,1.73,4.25
3/4/2020 9:41:09,0:4:41,5,2,3.28,4,1.73,4.25
3/4/2020 9:41:19,0:4:51,5,2,3.28,4,1.73,4.24
3/4/2020 9:41:29,0:5:1,5,2,3.28,4,1.73,4.24
3/4/2020 9:41:39,0:5:11,5,2,3.28,4,1.73,4.24
3/4/2020 9:41:49,0:5:21,5,2,3.28,4,1.73,4.25
3/4/2020 9:41:59,0:5:31,5,2,3.28,4,1.73,4.25
3/4/2020 9:42:09,0:5:41,5,2,3.28,4,1.73,4.25
3/4/2020 9:42:19,0:5:51,5,2,3.28,4,1.73,4.23
3/4/2020 9:42:29,0:6:1,5,2,3.28,4,1.73,4.25
3/4/2020 9:42:39,0:6:11,5,2,3.28,4,1.73,4.26
3/4/2020 9:42:49,0:6:21,5,2,3.28,4,1.73,4.25
3/4/2020 9:42:59,0:6:31,5,2,3.28,4,1.73,4.24
3/4/2020 9:43:09,0:6:41,5,2,3.28,4,1.73,4.24
3/4/2020 9:43:19,0:6:51,5,2,3.28,4,1.73,4.24
3/4/2020 9:43:29,0:7:1,5,2,3.28,4,1.73,4.24
3/4/2020 9:43:39,0:7:11,5,2,3.28,4,1.73,4.24
3/4/2020 9:43:49,0:7:21,5,2,3.28,4,1.73,4.25
3/4/2020 9:43:59,0:7:31,5,2,3.28,4,1.73,4.24
3/4/2020 9:44:09,0:7:41,5,2,3.28,4,1.73,4.23
3/4/2020 9:44:19,0:7:51,5,2,3.28,4,1.73,4.24
3/4/2020 9:44:29,0:8:1,5,2,3.28,4,1.73,4.23
3/4/2020 9:44:39,0:8:11,5,2,3.28,4,1.73,4.24
3/4/2020 9:44:49,0:8:21,5,2,3.28,4,1.73,4.25
3/4/2020 9:44:59,0:8:31,5,2,3.28,4,1.73,4.25
3/4/2020 9:45:09,0:8:41,5,2,3.28,4,1.73,4.24
3/4/2020 9:45:19,0:8:51,5,2,3.28,4,1.73,4.25
3/4/2020 9:45:29,0:9:1,5,2,3.28,4,1.73,4.24
3/4/2020 9:45:39,0:9:11,5,2,3.28,4,1.73,4.24
3/4/2020 9:45:49,0:9:21,5,2,3.28,4,1.73,4.25
3/4/2020 9:45:59,0:9:31,5,2,3.28,4,1.73,4.25
3/4/2020 9:46:09,0:9:41,5,2,3.28,4,1.73,4.24
3/4/2020 9:46:19,0:9:51,5,2,3.28,4,1.73,4.24
3/4/2020 9:46:29,0:10:1,5,2,3.28,4,1.73,4.25
3/4/2020 9:46:39,0:10:11,5,2,3.28,4,1.73,4.23
3/4/2020 9:46:49,0:10:21,5,2,3.28,4,1.73,4.23
3/4/2020 9:46:59,0:10:31,5,2,3.28,4,1.73,4.25
3/4/2020 9:47:09,0:10:41,5,2,3.28,4,1.73,4.23
3/4/2020 9:47:19,0:10:51,5,2,3.28,4,1.73,4.24
3/4/2020 9:47:29,0:11:1,5,2,3.28,4,1.73,4.25
3/4/2020 9:47:39,0:11:11,5,2,3.28,4,1.73,4.25
3/4/2020 9:47:49,0:11:21,5,2,3.28,4,1.73,4.24
3/4/2020 9:47:59,0:11:31,5,2,3.28,4,1.73,4.24
3/4/2020 9:48:09,0:11:41,5,2,3.28,4,1.73,4.24
3/4/2020 9:48:19,0:11:51,5,2,3.28,4,1.73,4.25
3/4/2020 9:48:29,0:12:1,5,2,3.28,4,1.73,4.25
3/4/2020 9:48:39,0:12:11,5,2,3.28,4,1.73,4.24
3/4/2020 9:48:49,0:12:21,5,2,3.28,4,1.73,4.25
3/4/2020 9:48:59,0:12:31,5,2,3.28,4,1.73,4.25
3/4/2020 9:49:09,0:12:41,5,2,3.28,4,1.73,4.25
3/4/2020 9:49:19,0:12:51,5,2,3.28,4,1.73,4.23
3/4/2020 9:49:29,0:13:1,5,2,3.28,4,1.73,4.24
3/4/2020 9:49:39,0:13:11,5,2,3.28,4,1.73,4.25
3/4/2020 9:49:49,0:13:21,5,2,3.28,4,1.73,4.25
3/4/2020 9:49:59,0:13:31,5,2,3.28,4,1.73,4.23
3/4/2020 9:50:09,0:13:41,5,2,3.28,4,1.73,4.24
3/4/2020 9:50:19,0:13:51,5,2,3.28,4,1.73,4.24
3/4/2020 9:50:29,0:14:1,5,2,3.28,4,1.73,4.25
3/4/2020 9:50:39,0:14:11,5,2,3.28,4,1.73,4.27
3/4/2020 9:50:49,0:14:21,5,2,3.28,4,1.73,4.24
3/4/2020 9:50:59,0:14:31,5,2,3.28,4,1.73,4.24
3/4/2020 9:51:09,0:14:41,5,2,3.28,4,1.73,4.24
3/4/2020 9:51:19,0:14:51,5,2,3.28,4,1.73,4.24
3/4/2020 9:51:29,0:15:1,5,2,3.28,4,1.73,4.24
3/4/2020 9:51:39,0:15:11,5,2,3.28,4,1.73,4.25
3/4/2020 9:51:49,0:15:21,5,2,3.28,4,1.73,4.24
3/4/2020 9:52:01,0:15:33,5,4,5.99,4,1.73,4.23
3/4/2020 9:52:11,0:15:43,5,4,5.99,4,1.73,4.23
3/4/2020 9:52:21,0:15:53,5,4,5.99,4,1.73,4.24
3/4/2020 9:52:31,0:16:3,5,4,5.99,4,1.73,4.23
3/4/2020 9:52:42,0:16:14,5,9,8.34,4,1.73,4.25
3/4/2020 9:52:52,0:16:24,5,10,9.54,4,1.73,4.26
3/4/2020 9:53:02,0:16:34,5,10,9.54,4,1.73,4.23
3/4/2020 9:53:12,0:16:44,5,10,9.54,4,1.73,4.25
3/4/2020 9:53:22,0:16:54,5,10,9.54,6,1.84,4.25
3/4/2020 9:53:32,0:17:4,5,10,9.54,6,1.84,4.24
3/4/2020 9:53:42,0:17:14,5,10,9.54,6,1.84,4.25
3/4/2020 9:53:52,0:17:24,5,10,9.54,6,1.84,4.24
3/4/2020 9:54:02,0:17:34,5,10,9.54,6,1.84,4.25
3/4/2020 9:54:12,0:17:44,5,10,9.54,6,1.84,4.25
3/4/2020 9:54:22,0:17:54,5,10,9.54,6,1.84,4.26
3/4/2020 9:54:32,0:18:4,5,10,9.54,6,1.84,4.23
3/4/2020 9:54:42,0:18:14,5,10,9.54,6,1.84,4.24
3/4/2020 9:54:52,0:18:24,5,10,9.54,6,1.84,4.25
3/4/2020 9:55:02,0:18:34,5,10,9.54,6,1.84,4.23
3/4/2020 9:55:12,0:18:44,5,10,9.54,6,1.84,4.23
3/4/2020 9:55:22,0:18:54,5,10,9.54,6,1.84,4.23
3/4/2020 9:55:32,0:19:4,5,10,9.54,6,1.84,4.24
3/4/2020 9:55:42,0:19:14,5,10,9.54,6,1.84,4.25
3/4/2020 9:55:52,0:19:24,5,10,9.54,6,1.84,4.24
3/4/2020 9:56:02,0:19:34,5,10,9.54,6,1.84,4.24
3/4/2020 9:56:12,0:19:44,5,10,9.54,6,1.84,4.26
3/4/2020 9:56:22,0:19:54,5,10,9.54,6,1.84,4.25
3/4/2020 9:56:32,0:20:4,5,10,9.54,6,1.84,4.23
3/4/2020 9:56:42,0:20:14,5,10,9.54,6,1.84,4.24
3/4/2020 9:56:52,0:20:24,5,10,9.54,6,1.84,4.25
3/4/2020 9:57:02,0:20:34,5,10,9.54,6,1.84,4.24
3/4/2020 9:57:12,0:20:44,5,10,9.54,6,1.84,4.24
